CMDLINE C:\Users\Adriaan\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe word_filter.py
MEM 1.750000 1688407709.2376
MEM 16.808594 1688407709.3383
MEM 23.863281 1688407709.4386
MEM 42.816406 1688407709.5392
MEM 63.941406 1688407709.6398
MEM 79.273438 1688407709.7404
MEM 95.042969 1688407709.8409
MEM 116.519531 1688407709.9415
MEM 125.355469 1688407710.0422
MEM 140.519531 1688407710.1427
MEM 156.125000 1688407710.2433
MEM 168.726562 1688407710.3437
MEM 176.187500 1688407710.4447
MEM 187.738281 1688407710.5471
MEM 202.066406 1688407710.6477
MEM 217.371094 1688407710.7480
MEM 233.660156 1688407710.8486
MEM 249.656250 1688407710.9491
MEM 262.285156 1688407711.0498
MEM 278.031250 1688407711.1502
MEM 279.246094 1688407711.2506
MEM 279.246094 1688407711.3511
MEM 279.246094 1688407711.4517
MEM 279.246094 1688407711.5523
MEM 279.250000 1688407711.6527
MEM 279.250000 1688407711.7533
MEM 279.281250 1688407711.8538
MEM 279.285156 1688407711.9542
MEM 279.289062 1688407712.0549
MEM 279.289062 1688407712.1555
MEM 279.296875 1688407712.2561
MEM 279.300781 1688407712.3569
MEM 279.300781 1688407712.4574
MEM 279.304688 1688407712.5580
MEM 279.308594 1688407712.6586
MEM 279.312500 1688407712.7592
MEM 279.312500 1688407712.8597
MEM 279.316406 1688407712.9604
MEM 279.316406 1688407713.0612
MEM 279.320312 1688407713.1617
MEM 279.320312 1688407713.2623
MEM 279.324219 1688407713.3628
MEM 279.324219 1688407713.4633
MEM 279.324219 1688407713.5636
MEM 279.441406 1688407713.6641
MEM 279.445312 1688407713.7647
MEM 279.445312 1688407713.8653
MEM 279.445312 1688407713.9657
MEM 279.449219 1688407714.0661
MEM 279.449219 1688407714.1667
MEM 279.453125 1688407714.2671
MEM 279.453125 1688407714.3678
MEM 279.453125 1688407714.4687
MEM 279.457031 1688407714.5693
MEM 279.339844 1688407714.6697
MEM 279.339844 1688407714.7703
MEM 279.343750 1688407714.8708
MEM 279.343750 1688407714.9713
MEM 279.343750 1688407715.0718
MEM 279.347656 1688407715.1724
MEM 279.347656 1688407715.2730
MEM 279.410156 1688407715.3736
MEM 279.414062 1688407715.4742
MEM 279.414062 1688407715.5744
MEM 279.414062 1688407715.6749
MEM 279.414062 1688407715.7752
MEM 279.414062 1688407715.8760
MEM 279.417969 1688407715.9765
MEM 279.417969 1688407716.0772
MEM 279.566406 1688407716.1782
MEM 279.570312 1688407716.2788
MEM 279.570312 1688407716.3793
MEM 279.570312 1688407716.4800
MEM 279.570312 1688407716.5805
MEM 279.574219 1688407716.6812
MEM 279.574219 1688407716.7817
MEM 279.574219 1688407716.8824
MEM 279.574219 1688407716.9828
MEM 279.578125 1688407717.0835
MEM 279.578125 1688407717.1841
